In this analyse, we chose lmbd=0.01, eta=0.01 and 300 epochs...

n_layers: 1, batch_size:10, n_neurons:5 gives score of: [0.6482295989990234, 0.6666666865348816] 
n_layers: 1, batch_size:10, n_neurons:10 gives score of: [1.1434743404388428, 0.8666666746139526] 
n_layers: 1, batch_size:10, n_neurons:15 gives score of: [0.37706220149993896, 0.8999999761581421] 
n_layers: 1, batch_size:10, n_neurons:20 gives score of: [0.541160523891449, 0.7666666507720947] 
n_layers: 1, batch_size:10, n_neurons:25 gives score of: [0.7003603577613831, 0.800000011920929] 
n_layers: 1, batch_size:10, n_neurons:30 gives score of: [0.4008502960205078, 0.8833333253860474] 
n_layers: 1, batch_size:10, n_neurons:35 gives score of: [0.4095057249069214, 0.8666666746139526] 
n_layers: 1, batch_size:10, n_neurons:40 gives score of: [0.808073878288269, 0.75] 
n_layers: 1, batch_size:10, n_neurons:45 gives score of: [0.5487650036811829, 0.800000011920929] 
n_layers: 1, batch_size:10, n_neurons:50 gives score of: [0.6471068263053894, 0.699999988079071] 
n_layers: 1, batch_size:10, n_neurons:55 gives score of: [0.6348200440406799, 0.699999988079071] 
n_layers: 1, batch_size:10, n_neurons:60 gives score of: [0.6584829688072205, 0.75] 
n_layers: 1, batch_size:10, n_neurons:65 gives score of: [0.4878988265991211, 0.8500000238418579] 
n_layers: 1, batch_size:10, n_neurons:70 gives score of: [0.45559030771255493, 0.800000011920929] 
n_layers: 1, batch_size:10, n_neurons:75 gives score of: [0.5587822794914246, 0.8333333134651184] 
n_layers: 1, batch_size:10, n_neurons:80 gives score of: [0.4829147458076477, 0.8833333253860474] 
n_layers: 1, batch_size:20, n_neurons:5 gives score of: [0.3836257755756378, 0.8999999761581421] 
n_layers: 1, batch_size:20, n_neurons:10 gives score of: [0.5514201521873474, 0.8666666746139526] 
n_layers: 1, batch_size:20, n_neurons:15 gives score of: [0.43243223428726196, 0.800000011920929] 
n_layers: 1, batch_size:20, n_neurons:20 gives score of: [0.43704280257225037, 0.8666666746139526] 
n_layers: 1, batch_size:20, n_neurons:25 gives score of: [0.5261489748954773, 0.8166666626930237] 
n_layers: 1, batch_size:20, n_neurons:30 gives score of: [0.600180447101593, 0.800000011920929] 
n_layers: 1, batch_size:20, n_neurons:35 gives score of: [0.4960213303565979, 0.8833333253860474] 
n_layers: 1, batch_size:20, n_neurons:40 gives score of: [0.7392260432243347, 0.699999988079071] 
n_layers: 1, batch_size:20, n_neurons:45 gives score of: [0.5280473232269287, 0.7833333611488342] 
n_layers: 1, batch_size:20, n_neurons:50 gives score of: [0.7726373076438904, 0.8166666626930237] 
n_layers: 1, batch_size:20, n_neurons:55 gives score of: [0.6092278957366943, 0.800000011920929] 
n_layers: 1, batch_size:20, n_neurons:60 gives score of: [0.44684460759162903, 0.8666666746139526] 
n_layers: 1, batch_size:20, n_neurons:65 gives score of: [0.47754961252212524, 0.8333333134651184] 
n_layers: 1, batch_size:20, n_neurons:70 gives score of: [0.5062212347984314, 0.8333333134651184] 
n_layers: 1, batch_size:20, n_neurons:75 gives score of: [0.6102198362350464, 0.75] 
n_layers: 1, batch_size:20, n_neurons:80 gives score of: [0.5480657815933228, 0.8333333134651184] 
n_layers: 1, batch_size:30, n_neurons:5 gives score of: [0.6198506951332092, 0.699999988079071] 
n_layers: 1, batch_size:30, n_neurons:10 gives score of: [0.5351797938346863, 0.7333333492279053] 
n_layers: 1, batch_size:30, n_neurons:15 gives score of: [0.36964690685272217, 0.8833333253860474] 
n_layers: 1, batch_size:30, n_neurons:20 gives score of: [0.5152086019515991, 0.8166666626930237] 
n_layers: 1, batch_size:30, n_neurons:25 gives score of: [0.5705441832542419, 0.8666666746139526] 
n_layers: 1, batch_size:30, n_neurons:30 gives score of: [0.47433391213417053, 0.800000011920929] 
n_layers: 1, batch_size:30, n_neurons:35 gives score of: [0.4768277406692505, 0.8333333134651184] 
n_layers: 1, batch_size:30, n_neurons:40 gives score of: [0.4099060893058777, 0.8666666746139526] 
n_layers: 1, batch_size:30, n_neurons:45 gives score of: [0.4553467929363251, 0.8333333134651184] 
n_layers: 1, batch_size:30, n_neurons:50 gives score of: [0.43424108624458313, 0.8666666746139526] 
n_layers: 1, batch_size:30, n_neurons:55 gives score of: [0.7322896122932434, 0.8333333134651184] 
n_layers: 1, batch_size:30, n_neurons:60 gives score of: [0.45749950408935547, 0.8333333134651184] 
n_layers: 1, batch_size:30, n_neurons:65 gives score of: [0.5204183459281921, 0.7666666507720947] 
n_layers: 1, batch_size:30, n_neurons:70 gives score of: [0.46294599771499634, 0.8666666746139526] 
n_layers: 1, batch_size:30, n_neurons:75 gives score of: [0.6263356804847717, 0.8166666626930237] 
n_layers: 1, batch_size:30, n_neurons:80 gives score of: [0.3806557357311249, 0.8833333253860474] 
n_layers: 1, batch_size:40, n_neurons:5 gives score of: [0.6081637144088745, 0.7333333492279053] 
n_layers: 1, batch_size:40, n_neurons:10 gives score of: [0.5511761903762817, 0.7833333611488342] 
n_layers: 1, batch_size:40, n_neurons:15 gives score of: [0.7325174808502197, 0.7666666507720947] 
n_layers: 1, batch_size:40, n_neurons:20 gives score of: [0.401311457157135, 0.8833333253860474] 
n_layers: 1, batch_size:40, n_neurons:25 gives score of: [0.3928738832473755, 0.8999999761581421] 
n_layers: 1, batch_size:40, n_neurons:30 gives score of: [0.4182325303554535, 0.8666666746139526] 
n_layers: 1, batch_size:40, n_neurons:35 gives score of: [0.41566792130470276, 0.8500000238418579] 
n_layers: 1, batch_size:40, n_neurons:40 gives score of: [0.6940049529075623, 0.7666666507720947] 
n_layers: 1, batch_size:40, n_neurons:45 gives score of: [0.6510887145996094, 0.8166666626930237] 
n_layers: 1, batch_size:40, n_neurons:50 gives score of: [0.4864426255226135, 0.8166666626930237] 
n_layers: 1, batch_size:40, n_neurons:55 gives score of: [0.5443689823150635, 0.7833333611488342] 
n_layers: 1, batch_size:40, n_neurons:60 gives score of: [0.5229469537734985, 0.8333333134651184] 
n_layers: 1, batch_size:40, n_neurons:65 gives score of: [0.4978458285331726, 0.8333333134651184] 
n_layers: 1, batch_size:40, n_neurons:70 gives score of: [0.44355571269989014, 0.8333333134651184] 
n_layers: 1, batch_size:40, n_neurons:75 gives score of: [0.45789840817451477, 0.8666666746139526] 
n_layers: 1, batch_size:40, n_neurons:80 gives score of: [0.4796653091907501, 0.8166666626930237] 
n_layers: 1, batch_size:50, n_neurons:5 gives score of: [0.39851146936416626, 0.8666666746139526] 
n_layers: 1, batch_size:50, n_neurons:10 gives score of: [0.5187320113182068, 0.800000011920929] 
n_layers: 1, batch_size:50, n_neurons:15 gives score of: [0.4914131760597229, 0.8500000238418579] 
n_layers: 1, batch_size:50, n_neurons:20 gives score of: [0.7763674259185791, 0.8500000238418579] 
n_layers: 1, batch_size:50, n_neurons:25 gives score of: [0.4733661115169525, 0.8333333134651184] 
n_layers: 1, batch_size:50, n_neurons:30 gives score of: [0.5489169955253601, 0.8500000238418579] 
n_layers: 1, batch_size:50, n_neurons:35 gives score of: [0.3887334167957306, 0.8833333253860474] 
n_layers: 1, batch_size:50, n_neurons:40 gives score of: [0.47489604353904724, 0.8500000238418579] 
n_layers: 1, batch_size:50, n_neurons:45 gives score of: [0.5062846541404724, 0.800000011920929] 
n_layers: 1, batch_size:50, n_neurons:50 gives score of: [0.5084635615348816, 0.7833333611488342] 
n_layers: 1, batch_size:50, n_neurons:55 gives score of: [0.7413769960403442, 0.8166666626930237] 
n_layers: 1, batch_size:50, n_neurons:60 gives score of: [0.7480887174606323, 0.8833333253860474] 
n_layers: 1, batch_size:50, n_neurons:65 gives score of: [0.48420053720474243, 0.8500000238418579] 
n_layers: 1, batch_size:50, n_neurons:70 gives score of: [0.5132565498352051, 0.7833333611488342] 
n_layers: 1, batch_size:50, n_neurons:75 gives score of: [0.4355103373527527, 0.8833333253860474] 
n_layers: 1, batch_size:50, n_neurons:80 gives score of: [0.6011179089546204, 0.8333333134651184] 
n_layers: 1, batch_size:60, n_neurons:5 gives score of: [0.7881906628608704, 0.6000000238418579] 
n_layers: 1, batch_size:60, n_neurons:10 gives score of: [0.4693576693534851, 0.8333333134651184] 
n_layers: 1, batch_size:60, n_neurons:15 gives score of: [0.4468386471271515, 0.8999999761581421] 
n_layers: 1, batch_size:60, n_neurons:20 gives score of: [0.4214240312576294, 0.8500000238418579] 
n_layers: 1, batch_size:60, n_neurons:25 gives score of: [0.38399142026901245, 0.8833333253860474] 
n_layers: 1, batch_size:60, n_neurons:30 gives score of: [0.4000236392021179, 0.8666666746139526] 
n_layers: 1, batch_size:60, n_neurons:35 gives score of: [0.7044615149497986, 0.7666666507720947] 
n_layers: 1, batch_size:60, n_neurons:40 gives score of: [0.7831140160560608, 0.7666666507720947] 
n_layers: 1, batch_size:60, n_neurons:45 gives score of: [0.584348738193512, 0.7333333492279053] 
n_layers: 1, batch_size:60, n_neurons:50 gives score of: [0.5498796105384827, 0.7833333611488342] 
n_layers: 1, batch_size:60, n_neurons:55 gives score of: [0.37386226654052734, 0.8833333253860474] 
n_layers: 1, batch_size:60, n_neurons:60 gives score of: [0.4154394865036011, 0.8666666746139526] 
n_layers: 1, batch_size:60, n_neurons:65 gives score of: [0.6580423712730408, 0.7833333611488342] 
n_layers: 1, batch_size:60, n_neurons:70 gives score of: [0.4088311791419983, 0.8833333253860474] 
n_layers: 1, batch_size:60, n_neurons:75 gives score of: [0.5633413791656494, 0.8666666746139526] 
n_layers: 1, batch_size:60, n_neurons:80 gives score of: [0.43576779961586, 0.8833333253860474] 
n_layers: 1, batch_size:70, n_neurons:5 gives score of: [0.7609546184539795, 0.5333333611488342] 
n_layers: 1, batch_size:70, n_neurons:10 gives score of: [0.43924301862716675, 0.9166666865348816] 
n_layers: 1, batch_size:70, n_neurons:15 gives score of: [0.5405765771865845, 0.8166666626930237] 
n_layers: 1, batch_size:70, n_neurons:20 gives score of: [0.39276885986328125, 0.8833333253860474] 
n_layers: 1, batch_size:70, n_neurons:25 gives score of: [0.4137442409992218, 0.8999999761581421] 
n_layers: 1, batch_size:70, n_neurons:30 gives score of: [0.3886149227619171, 0.8833333253860474] 
n_layers: 1, batch_size:70, n_neurons:35 gives score of: [0.46530550718307495, 0.8500000238418579] 
n_layers: 1, batch_size:70, n_neurons:40 gives score of: [0.43133723735809326, 0.8500000238418579] 
n_layers: 1, batch_size:70, n_neurons:45 gives score of: [0.5022627711296082, 0.800000011920929] 
n_layers: 1, batch_size:70, n_neurons:50 gives score of: [0.4448220133781433, 0.8999999761581421] 
n_layers: 1, batch_size:70, n_neurons:55 gives score of: [0.4138813614845276, 0.8500000238418579] 
n_layers: 1, batch_size:70, n_neurons:60 gives score of: [0.44893500208854675, 0.8500000238418579] 
n_layers: 1, batch_size:70, n_neurons:65 gives score of: [0.5050686597824097, 0.800000011920929] 
n_layers: 1, batch_size:70, n_neurons:70 gives score of: [0.43381837010383606, 0.8666666746139526] 
n_layers: 1, batch_size:70, n_neurons:75 gives score of: [0.6663791537284851, 0.7333333492279053] 
n_layers: 1, batch_size:70, n_neurons:80 gives score of: [0.4049309492111206, 0.8666666746139526] 
n_layers: 1, batch_size:80, n_neurons:5 gives score of: [0.7229064702987671, 0.6166666746139526] 
n_layers: 1, batch_size:80, n_neurons:10 gives score of: [0.4201251268386841, 0.8833333253860474] 
n_layers: 1, batch_size:80, n_neurons:15 gives score of: [0.6345815658569336, 0.800000011920929] 
n_layers: 1, batch_size:80, n_neurons:20 gives score of: [0.5246073603630066, 0.800000011920929] 
n_layers: 1, batch_size:80, n_neurons:25 gives score of: [0.6269711852073669, 0.8333333134651184] 
n_layers: 1, batch_size:80, n_neurons:30 gives score of: [0.6637076139450073, 0.8500000238418579] 
n_layers: 1, batch_size:80, n_neurons:35 gives score of: [0.5456668734550476, 0.8166666626930237] 
n_layers: 1, batch_size:80, n_neurons:40 gives score of: [0.41616496443748474, 0.8666666746139526] 
n_layers: 1, batch_size:80, n_neurons:45 gives score of: [0.6022385358810425, 0.8500000238418579] 
n_layers: 1, batch_size:80, n_neurons:50 gives score of: [0.42484772205352783, 0.8666666746139526] 
n_layers: 1, batch_size:80, n_neurons:55 gives score of: [0.4419604539871216, 0.8500000238418579] 
n_layers: 1, batch_size:80, n_neurons:60 gives score of: [0.4672606885433197, 0.8500000238418579] 
n_layers: 1, batch_size:80, n_neurons:65 gives score of: [0.5205432176589966, 0.8166666626930237] 
n_layers: 1, batch_size:80, n_neurons:70 gives score of: [0.4385627210140228, 0.8666666746139526] 
n_layers: 1, batch_size:80, n_neurons:75 gives score of: [0.5528696775436401, 0.7833333611488342] 
n_layers: 1, batch_size:80, n_neurons:80 gives score of: [0.7791250944137573, 0.800000011920929] 
n_layers: 1, batch_size:90, n_neurons:5 gives score of: [0.410115510225296, 0.8833333253860474] 
n_layers: 1, batch_size:90, n_neurons:10 gives score of: [0.4155607521533966, 0.8999999761581421] 
n_layers: 1, batch_size:90, n_neurons:15 gives score of: [0.4662456214427948, 0.8666666746139526] 
n_layers: 1, batch_size:90, n_neurons:20 gives score of: [0.7090367078781128, 0.8166666626930237] 
n_layers: 1, batch_size:90, n_neurons:25 gives score of: [0.43420663475990295, 0.8666666746139526] 
n_layers: 1, batch_size:90, n_neurons:30 gives score of: [0.4571966826915741, 0.8500000238418579] 
n_layers: 1, batch_size:90, n_neurons:35 gives score of: [0.7311824560165405, 0.8500000238418579] 
n_layers: 1, batch_size:90, n_neurons:40 gives score of: [0.48019492626190186, 0.8500000238418579] 
n_layers: 1, batch_size:90, n_neurons:45 gives score of: [0.4087800085544586, 0.8500000238418579] 
n_layers: 1, batch_size:90, n_neurons:50 gives score of: [0.5754276514053345, 0.7666666507720947] 
n_layers: 1, batch_size:90, n_neurons:55 gives score of: [0.44314876198768616, 0.8666666746139526] 
